alpha,low-beta,high-beta
222749,38290,106470
379242,18705,202824
342618,23588,130497
75423,4687,67116
30157,1309,41379
216658,12930,218295
156219,21513,323777
304564,34558,110560
68424,2245,78778
33501,2569,70194
128346,17774,215639
231749,21368,115782
709056,8345,265414
210428,12561,102947
182426,5272,266785
180533,6986,141415
42935,3501,47500
81983,4466,40662
90655,3579,56585
59957,55322,147089
71344,3741,53087
60180,18329,112447
322488,7735,246203
472672,11804,196746
495957,123080,124495
112526,1460,42620
200855,23850,180713
46237,3723,34167
76792,8144,28905
122971,3662,38520
253314,31264,196230
33916,4156,23005
232107,8512,138549
43741,1779,49917
150668,18717,148932
44597,4382,43807
56762,7382,55848
16788,2165,48380
56370,978,44066
32098,5187,26011
19307,1403,8366
99616,8328,131510
179335,4714,146064
157648,12345,98879
45109,1676,21228
76463,4112,204148
77034,2998,173794
145019,3526,170542
170315,11705,128787
45620,9793,102078
45362,10657,138384
25069,1842,30730
13286,3429,23521
221509,7579,121100
85316,3751,30161
156012,14608,146229
1340,1524,3715
164575,12930,76799
45722,6897,40889
70943,38689,55976
6253,11442,12105
23592,44791,70094
47171,36034,35920
83953,20669,26266
35708,26344,34635
79528,23495,34491
39663,11463,60543
15935,15955,50303
12138,11730,23468
41412,2260,17376
98968,20604,32051
62949,13199,45632
37932,15108,65179
21519,4533,18746
12983,1601,5065
42086,18453,78362
109172,18399,37068
82901,12750,59878
8805,1867,24646
115417,9627,61115
60191,4598,155405
58571,9086,69844
164461,99943,281239
207482,12363,54991
14280,21957,66524
187180,19240,38772
61266,6509,63765
27014,3508,91021
57668,5691,26954
100301,10519,32752
152293,21553,103644
60847,25907,61280
392701,45136,287058
49115,16678,81215
5947,3151,12769
87323,9066,26165
517933,36355,285798
32371,2677,15152
668189,50721,77606
320143,86620,226590
34092,29239,36605
52621,9027,44469
38543,18289,17939
194337,35232,265169
68521,5424,57980
50909,17021,51648
316687,30537,245174
81103,11082,47325
62926,7692,57444
292295,77235,200482
98293,6220,18561
164726,16950,38217
61275,21239,30401
65732,25379,36067
28819,9984,33078
250924,37686,173476
95875,34273,37641
45662,9799,26087
139057,83578,227638
440324,14917,130443
66194,16242,12923
8889,3472,1390
8461,7735,3665
8594,10924,9391
2903,9576,12925
16032,14196,4954
25238,8282,7384
27030,16160,6723
9377,13925,17284
11290,13591,18582
3529,1814,1190
144142,95235,49228
616,3562,1532
695,3483,2704
2769,4857,2901
53694,18411,10896
22544,13104,14972
42060,16308,14433
20891,18324,18604
4901,10103,11021
23729,20090,9112
18900,4860,4623
3799,2207,3339
21139,12773,13963
10583,3584,5248
20489,16423,15808
16086,7745,11324
3935,15037,15753
40963,29489,28511
1668,7996,14299
10234,4175,3181
14070,5925,17743
7791,3435,6404
3806,3738,16433
21958,15213,23229
5715,4259,1348
19040,15972,17435
4276,1331,1365
10158,17359,9390
2661,2910,2638
13195,8778,9883
4857,5199,5436
5169,3316,2808
20086,9532,14938
6032,7360,2896
11151,5166,10931
3260,4191,4145
51750,33808,18349
869,5412,9507
133,822,1042
12174,6771,6356
4725,3002,4197
29259,14219,16838
519,2069,4907
15995,17368,23652
12506,12753,9230
4788,3418,6044
11436,25069,13874
18675,30955,15299
12166,7155,6488
